Category,Name,Year,Time,Date,Price,Location,ImageURL
Furniture,Wooden Sofa Set,2017,10:15 AM,10-11-2024,1200,Chennai,fur1.jpg
Furniture,Dining Table 6-Seater,2018,11:16 AM,11-11-2024,1900,Bangalore,fur2.jpg
Furniture,Office Chair Premium,2019,12:17 AM,12-11-2024,2600,Hyderabad,fur3.jpg
Furniture,Wooden Cupboard,2020,13:18 AM,13-11-2024,3300,Coimbatore,fur4.jpg
Furniture,Study Table,2021,14:19 AM,14-11-2024,4000,Salem,fur5.jpg
Furniture,Recliner Sofa,2022,15:20 AM,15-11-2024,4700,Madurai,fur6.jpg
Furniture,King Size Bed,2017,10:21 AM,16-11-2024,5400,Pune,fur7.jpg
Furniture,Bookshelf,2018,11:22 AM,17-11-2024,6100,Kochi,fur8.jpg
Furniture,Office Table,2019,12:23 AM,18-11-2024,6800,Delhi,fur9.jpg
Furniture,Computer Chair,2020,13:24 AM,19-11-2024,7500,Mysore,fur10.jpg
Furniture,Sofa Cum Bed,2021,14:25 AM,20-11-2024,8200,Goa,fur11.jpg
Furniture,Shoe Rack,2022,15:26 AM,21-11-2024,8900,Trichy,fur12.jpg
Furniture,Plastic Chairs Set,2017,10:27 AM,22-11-2024,9600,Chennai,fur13.jpg
Furniture,TV Stand,2018,11:28 AM,23-11-2024,10300,Bangalore,fur14.jpg
Furniture,Round Dining Table,2019,12:29 AM,24-11-2024,11000,Hyderabad,fur15.jpg
Furniture,Steel Cupboard,2020,13:30 AM,25-11-2024,11700,Coimbatore,fur16.jpg
Furniture,Dressing Table,2021,14:31 AM,26-11-2024,12400,Salem,fur17.jpg
Furniture,Office Drawer Unit,2022,15:32 AM,27-11-2024,13100,Madurai,fur18.jpg
Furniture,Queen Size Bed,2017,10:33 AM,10-11-2024,13800,Pune,fur19.jpg
Furniture,Recliner Chair,2018,11:34 AM,11-11-2024,14500,Kochi,fur20.jpg
Furniture,Small Coffee Table,2019,12:35 AM,12-11-2024,15200,Delhi,fur21.jpg
Furniture,Office Cabinet,2020,13:36 AM,13-11-2024,15900,Mysore,fur22.jpg
Furniture,Metal Bunk Bed,2021,14:37 AM,14-11-2024,16600,Goa,fur23.jpg
Furniture,Plastic Table,2022,15:38 AM,15-11-2024,17300,Trichy,fur24.jpg
Furniture,Stylish Wardrobe,2017,10:39 AM,16-11-2024,18000,Chennai,fur25.jpg
Furniture,Dining Chair,2018,11:40 AM,17-11-2024,18700,Bangalore,fur26.jpg
Furniture,Antique Wooden Chair,2019,12:41 AM,18-11-2024,19400,Hyderabad,fur27.jpg
Furniture,Wooden Showcase,2020,13:42 AM,19-11-2024,20100,Coimbatore,fur28.jpg
Furniture,Modern Sofa,2021,14:43 AM,20-11-2024,20800,Salem,fur29.jpg
Furniture,Office Sofa 3-Seater,2022,15:44 AM,21-11-2024,21500,Madurai,fur30.jpg
